Series Name,Series Code,Country Name,Country Code,2013 [YR2013],DisasterRiskReductionProgressScoreWorldBankData
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,55.04180488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.40112195,4.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,50.13680488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,51.15907317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,80.25953659,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,79.83680488,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,75.35302439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,73.97882927,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,60.8574878,1.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",ZAR,49.94385366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,58.77,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,79.921,4.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,50.75741463,2.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.12682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,79.23926829,4.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,79.80431707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,78.27804878,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,80.30243902,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,61.78695122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,73.45095122,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,76.46507317,4.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,71.13292683,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,72.33892683,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,53.11456098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,62.75463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,76.42439024,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,63.61734146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faeroe Islands,FRO,81.3,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,69.923,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,80.83170732,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,81.96829268,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,76.33904878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,63.441,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,58.83134146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,74.0795122,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,81.04390244,4.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,61.09863415,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,80.63414634,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,72.74134146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,78.87512195,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,71.99282927,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,56.09165854,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,54.27170732,1
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,66.20790244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,63.05885366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,73.80304878,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,83.83170732,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,75.26829268,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,83.11707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,66.4562439,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,70.81743902,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,74.0687561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,69.47168293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,81.04390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMY,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,82.05609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,82.2902439,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,73.46892683,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,83.33195122,4.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,73.90141463,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,70.45,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,61.68397561,4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,68.84907317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. Rep.",PRK,69.80695122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,81.4597561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,KSV,70.79756098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,74.4627561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,70.20243902,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,68.24941463,2.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,73.9804878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,80.12887805,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,49.33146341,2.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,60.53187805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,75.36168293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,82.38292683,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,74.16341463,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,81.79756098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,80.3437561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macedonia, FYR",MKD,75.18802439,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,64.69139024,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,55.23470732,1.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,75.01626829,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,77.93536585,2.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,55.0135122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,80.74634146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..,1.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,61.5117561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,74.46,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,77.35402439,4.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,68.96097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,68.8115122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,67.54819512,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,74.75836585,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,70.87212195,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,50.17336585,4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,65.09968293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,64.34387805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,68.40385366,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,81.10487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,77.12195122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,81.40731707,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,74.78817073,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,58.44270732,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,52.49978049,4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,81.45121951,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,76.85202439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,66.58536585,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,77.57895122,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,62.43073171,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,72.2734878,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,74.81460976,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,68.7144878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,76.84878049,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,80.37317073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,78.71119512,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,78.60690244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROM,74.46341463,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,71.07317073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,63.99397561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,73.26487805,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,66.26097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,75.70336585,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,63.35073171,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,75.13658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,74.22682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,45.55095122,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,82.34634146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,76.26097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,80.27804878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,67.71690244,2
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,55.0245122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,56.73658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Sudan,SSD,55.24121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,82.42682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sri Lanka,LKA,74.24029268,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Kitts and Nevis,KNA,..,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Lucia,LCA,74.79195122,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Martin (French part),MAF,79.17073171,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Vincent and the Grenadines,VCT,72.50097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sudan,SDN,62.0444878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Suriname,SUR,71.03163415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Swaziland,SWZ,48.93792683,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,81.70487805,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,82.74878049,4.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Syrian Arab Republic,SYR,74.71578049,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,67.37460976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tanzania,TZA,61.49314634,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Thailand,THA,74.36507317,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Timor-Leste,TMP,67.52236585,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Togo,TGO,56.4885122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tonga,TON,72.64231707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Trinidad and Tobago,TTO,69.92521951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,73.64634146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkey,TUR,75.17595122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkmenistan,TKM,65.46258537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,..,2.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tuvalu,TUV,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,59.19,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,71.1595122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Arab Emirates,ARE,77.13129268,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,80.95609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,78.84146341,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,77.05141463,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,68.22758537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vanuatu,VUT,71.68682927,2
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Venezuela, RB",VEN,74.64309756,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,75.7564878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,79.62439024,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,WBG,73.20334146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,63.08958537,2.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,58.09278049,3.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,59.7734878,..
,,,,,
Data Source,World Development Indicators,,,,
Last Updated Date,18-09-17,,,,
Data from database: Health Nutrition and Population Statistics,,,,,
Last Updated: 07/01/2015,,,,,
